cluster,topics,aspects
160.0,"['time', 'galleri', 'load', 'one', 'pictur', 'take', 'photo', 'open', 'delet', 'app', 'second', 'even', 'folder']","gallery, performance"
161.0,"['well', 'job', 'perfect', 'quit', 'flawless', 'issu', 'far', 'everyth', 'even', 'charm', 'work', 'fine', 'till']",none
162.0,"['basic', 'daili', 'averag', 'day', 'user', 'medium', 'overal', 'everyday', 'use', 'perfect', 'normal', 'usag', 'ok', 'ths']","average use,, everyday use "
163.0,"['qualiti', 'averag', 'play', 'game', 'camera', 'use', 'want', 'gamer', 'experi', 'budget', 'batteri', 'heavi', 'perform', 'price', 'screen']","gaming, camera , battery"
164.0,"['qualiti', 'quality,', 'averag', 'call', 'good,', 'camera', 'speaker', 'poor', 'stereo', 'sound', 'batteri', 'low', 'camera,']","camera ,speaker"
165.0,"['one', 'money', 'qoo7', 'legend', 'lke', 'qoo', 'vvo', 'prce', 'would', 'could', 'whch', 'ths', 'wth']",brand
166.0,"['tme', 'purchas', 'day', 'mobl', 'one', 'lke', 'amazon', 'got', 'replac', 'wll', 'usng', 'bought', 'ths', 'wth']",none
167.0,"['1%', 'almost', 'take', '20', '45', 'percent', 'hour', '100', '100%', 'reach', 'min', '15', '0-100%', 'minut']","battery, charging"
168.0,"['qualiti', 'otherwis', 'look', 'one', 'strong', 'wise', 'piec', 'come', 'amaz', 'grade', 'capabl', 'review', 'premium', 'hardwar', 'price', 'militari', 'feel']","hardware, looks, feel"
169.0,"['devic', 'look', 'time', 'taken', '12mp', 'perfect', 'camera', 'pictur', 'use', 'sound', 'photo', 'get', 'click', 'pic', 'detail']",camera
